feature1,feature2,feature3,feature4,feature5,feature6,feature7,labels
16.17,0.04,0,0,0.04,0,0,1
49.5,7.585,0,0,7.585,15,5000,1
28.25,5.125,0,0,4.75,2,7,1
21.5,6.0,0,0,2.5,3,918,1
22.58,1.5,1,1,0.54,0,67,0
44.25,0.5,0,0,10.75,0,0,0
21.5,11.5,0,0,0.5,0,68,0
22.83,3.0,0,0,1.29,1,800,1
26.08,8.665,0,0,1.415,0,150,1
26.92,2.25,0,0,0.5,0,4000,0
16.08,0.75,0,0,1.75,5,690,1
23.17,11.125,0,0,0.46,1,0,1
47.67,0.29,0,0,15.0,20,15000,1
36.67,2.0,0,0,0.25,0,0,0
38.92,1.665,0,0,0.25,0,390,0
24.75,0.54,0,0,1.0,0,1,0
41.17,1.25,1,1,0.25,0,195,0
20.42,1.835,0,0,2.25,1,150,1
15.75,0.375,0,0,1.0,0,18,0
28.92,0.375,0,0,0.29,0,140,0
32.08,4.0,0,0,2.5,0,0,1
47.25,0.75,0,0,2.75,1,892,1
25.17,3.5,0,0,0.625,7,7059,1
26.83,0.54,0,0,0.0,0,0,0
21.42,0.75,1,1,0.75,0,2,0
26.0,1.0,0,0,1.75,0,0,1
41.17,1.335,0,0,0.165,0,0,0
56.58,18.5,0,0,15.0,17,0,1
29.5,0.58,0,0,0.29,1,2803,0
25.0,11.25,0,0,2.5,17,1208,1
22.5,8.46,1,1,2.46,0,0,1
53.92,9.625,0,0,8.665,5,0,1
25.0,12.33,0,0,3.5,6,458,1
60.58,16.5,0,0,11.0,0,10561,1
20.67,0.835,1,1,2.0,0,0,0
20.67,1.25,1,1,1.375,3,210,0
31.42,15.5,0,0,0.5,0,0,0
33.67,2.165,0,0,1.5,0,0,0
18.83,9.5,0,0,1.625,6,600,1
68.67,15.0,0,0,0.0,14,3376,1
40.92,0.5,1,1,0.5,0,0,0
27.83,1.5,0,0,2.0,11,35,1
31.33,19.5,0,0,7.0,16,5000,1
22.5,0.125,1,1,0.125,0,70,0
22.67,10.5,0,0,1.335,0,0,1
29.25,14.79,0,0,5.04,5,0,1
33.75,0.75,0,0,1.0,3,0,0
40.92,0.835,0,0,0.0,0,1,0
24.75,3.0,0,0,1.835,19,500,1
39.83,0.5,0,0,0.25,0,0,0
51.83,3.0,1,1,1.5,0,4,0
49.58,19.0,0,0,0.0,1,0,0
30.42,1.375,0,0,0.04,3,33,0
27.0,0.75,0,0,4.25,3,150,1
24.42,12.335,0,0,1.585,0,0,1
48.25,25.085,0,0,1.75,3,14,1
32.17,1.46,0,0,1.085,16,2079,1
41.58,1.75,0,0,0.21,0,0,0
21.67,11.5,1,1,0.0,11,0,1
58.58,2.71,0,0,2.415,0,0,0
41.5,1.54,0,0,3.5,0,0,1
37.5,0.835,0,0,0.04,0,5,0
23.08,2.5,0,0,1.085,11,2184,1
22.42,5.665,0,0,2.585,7,3257,1
18.08,0.375,2,2,10.0,0,0,1
18.42,10.415,1,1,0.125,0,375,0
37.42,2.04,0,0,0.04,0,5800,1
47.42,8.0,0,0,6.5,6,51100,1
56.42,28.0,1,1,28.5,40,15,1
48.75,26.335,1,1,0.0,0,0,0
39.92,5.0,0,0,0.21,0,0,0
20.42,10.5,1,1,0.0,0,32,0
34.42,1.335,0,0,0.125,0,4500,0
35.17,2.5,0,0,4.5,7,1270,1
19.42,6.5,0,0,1.46,7,2954,1
20.83,0.5,1,1,1.0,0,0,0
32.25,14.0,1,1,0.0,2,1,0
36.17,0.42,1,1,0.29,0,2,0
37.5,1.125,1,1,1.5,0,0,1
42.0,0.205,0,0,5.125,0,0,1
19.42,1.5,1,1,2.0,0,20,0
18.25,0.165,0,0,0.25,0,0,0
23.0,0.75,0,0,0.5,0,0,0
40.25,21.5,0,0,20.0,11,1200,1
23.08,11.5,0,0,3.5,9,742,1
25.08,2.54,1,1,0.25,0,0,1
20.75,5.085,1,1,0.29,0,184,0
39.42,1.71,1,1,0.165,0,0,0
38.25,6.0,0,0,1.0,0,0,1
26.17,0.835,0,0,1.165,0,0,0
29.5,1.085,1,1,1.0,0,13,0
22.5,0.415,0,0,0.335,0,0,0
21.0,3.0,1,1,1.085,8,1,1
17.42,6.5,0,0,0.125,0,100,0
30.17,6.5,0,0,3.125,8,1200,1
31.75,3.0,1,1,0.0,0,20,0
39.0,5.0,0,0,3.5,10,0,1
32.33,0.54,0,0,0.04,0,11177,1
44.17,6.665,0,0,7.375,3,0,1
18.17,2.46,0,0,0.96,2,587,0
